公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
辽宁途隆科技有限公司,辽宁途隆科技有限公司,150-500人,不需要融资,朝阳区,渗透安全工程师,1-3年,大专,10k-20k,"五险一金,带薪年假,生日礼物,年底奖金"
爱笔（北京）智能科技有限公司,Aibee,50-150人,天使轮,海淀区,计算机视觉算法科学家/工程师,1-3年,本科,30k-60k,"技术大牛,国际化团队,创业公司"
北京清帆科技有限公司,清帆科技,15-50人,A轮,海淀区,自然语言处理高级工程师,3-5年,硕士,25k-35k,"年13薪,期权激励,优秀团队,扁平化管理"
轻易科技有限公司,轻易贷,2000人以上,上市公司,海淀区,运维开发工程师（偏安全）-北京-00150,5-10年,本科,15k-25k,弹性工作制 扁平化管理 最高16薪 上市集团
北京乐途原动力科技发展有限公司,北京乐途原动力,50-150人,未融资,朝阳区,C++高级工程师,3-5年,本科,20k-40k,"十五薪,六险一金,住房补贴"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,用户画像算法工程师,3-5年,本科,25k-40k,"在线教育,美国上市"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,架构师,5-10年,本科,40k-50k,"六险一金,重点项目,月度补助"
晋商博创（北京）科技有限公司,博创科技,15-50人,不需要融资,丰台区,云实施运维工程师,5-10年,本科,20k-40k,"工作气氛好,技术环境好"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,日志中心高级开发工程师,3-5年,本科,40k-70k,上市公司
仁科互动（北京）信息科技有限公司,销售易,500-2000人,D轮及以上,朝阳区,白盒测试工程师,3-5年,本科,15k-20k,"六险一金,扁平管理"
北京悦图遥感科技发展有限公司,悦图遥感,15-50人,不需要融资,海淀区,SAR数据处理与应用工程师,不限,硕士,10k-20k,"SAR,目标检测,C/C++"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,推荐算法工程师,3-5年,本科,25k-40k,"六险一金,带薪年级,交通补贴,通讯补贴"
北京推想科技有限公司,推想科技,150-500人,B轮,朝阳区,接口开发工程师 (MJ000203),3-5年,本科,15k-25k,"人工智能,五险一金,试用期全薪,饭补"
特斯联（北京）科技有限公司,特斯联,150-500人,B轮,朝阳区,算法工程师,不限,本科,25k-45k,"氛围好,环境好"
无线生活（北京）信息技术有限公司,微店,500-2000人,C轮,朝阳区,风控算法专家,3-5年,本科,40k-80k,"竞争力薪资,期权激励,完善福利,靠谱儿团队"
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,朝阳区,资深大数据开发工程师（北京）,3-5年,本科,15k-30k,世界500强，丰厚奖金
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,全栈测试开发工程师,3-5年,本科,25k-50k,"大牛云集,核心部门,各种福利"
北京易思卓科技有限公司,易思卓,15-50人,A轮,朝阳区,大数据研发工程师,不限,本科,20k-35k,"五险一金,年终奖金,免费零食,年度旅游"
广州哲品家居用品有限公司,哲品,150-500人,未融资,朝阳区,后端开发工程师,3-5年,本科,10k-20k,"五险一金,周末双休,新零售"
北京十一贝科技有限公司,北京十一贝科技有限公司,150-500人,A轮,海淀区,算法工程师,1-3年,本科,30k-50k,"发展空间大,包三餐,晋升空间大,16薪"
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,量化工程师,1-3年,本科,15k-25k,"五险一金,免费零食,大牛领导,扁平化管理"
梅卡曼德（北京）机器人科技有限公司,梅卡曼德,50-150人,A轮,海淀区,算法工程师（计算机视觉方向）,1-3年,本科,18k-36k,"风口行业,大牛多,期权激励,上升空间大"
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,海淀区,数据挖掘工程师,3-5年,本科,30k-50k,"技术提高,发展前景,年度旅行,团队好"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,服务端测试开发工程师,1-3年,本科,20k-40k,"技术,平台"
北京信链科技有限公司,信链科技,150-500人,A轮,朝阳区,DBA工程师,3-5年,本科,15k-30k,"技术氛围浓,领导nic"
北京来也网络科技有限公司,助理来也,50-150人,B轮,海淀区,后端开发工程师,1-3年,本科,20k-40k,"人工智能,大数据开发,期权股票,发展空间大"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,网络运维工程师,1-3年,本科,15K-30K,三餐，免费班车，节日福利
易联汇华（北京）科技有限公司,易联汇华,500-2000人,C轮,朝阳区,金融建模工程师,1-3年,本科,12k-20k,"五险一金,绩效奖金,带薪年假,交通补助"
